"date","PM25","city"
"2017-01-03",117454,"puerto_montt"
"2017-01-04",100945,"puerto_montt"
"2017-01-05",117048,"puerto_montt"
"2017-01-06",959293,"puerto_montt"
"2017-01-07",849617,"puerto_montt"
"2017-01-08",117041,"puerto_montt"
"2017-01-09",132418,"puerto_montt"
"2017-01-10",149932,"puerto_montt"
"2017-01-11",71767,"puerto_montt"
"2017-01-12",778456,"puerto_montt"
"2017-01-13",358587,"puerto_montt"
"2017-01-14",294068,"puerto_montt"
"2017-01-15",460421,"puerto_montt"
"2017-01-16",111307,"puerto_montt"
"2017-01-17",170933,"puerto_montt"
"2017-01-18",85903,"puerto_montt"
"2017-01-19",745746,"puerto_montt"
"2017-01-20",581318,"puerto_montt"
"2017-01-21",891519,"puerto_montt"
"2017-01-22",577276,"puerto_montt"
"2017-01-23",809625,"puerto_montt"
"2017-01-24",498309,"puerto_montt"
"2017-01-25",38432,"puerto_montt"
"2017-01-26",509753,"puerto_montt"
"2017-01-27",37853,"puerto_montt"
"2017-01-28",429093,"puerto_montt"
"2017-01-29",676823,"puerto_montt"
"2017-01-30",550289,"puerto_montt"
"2017-01-31",388272,"puerto_montt"
"2017-02-01",366454,"puerto_montt"
"2017-02-02",713235,"puerto_montt"
"2017-02-03",750167,"puerto_montt"
"2017-02-04",524255,"puerto_montt"
"2017-02-05",781564,"puerto_montt"
"2017-02-06",532957,"puerto_montt"
"2017-02-07",663324,"puerto_montt"
"2017-02-08",767998,"puerto_montt"
"2017-02-09",854402,"puerto_montt"
"2017-02-10",655464,"puerto_montt"
"2017-02-11",725546,"puerto_montt"
"2017-02-12",412464,"puerto_montt"
"2017-02-13",690494,"puerto_montt"
"2017-02-14",529134,"puerto_montt"
"2017-02-15",658591,"puerto_montt"
"2017-02-16",903441,"puerto_montt"
"2017-02-17",94198,"puerto_montt"
"2017-02-18",145923,"puerto_montt"
"2017-02-19",733118,"puerto_montt"
"2017-02-20",440338,"puerto_montt"
"2017-02-21",534485,"puerto_montt"
"2017-02-22",377938,"puerto_montt"
"2017-02-23",262304,"puerto_montt"
"2017-02-24",338777,"puerto_montt"
"2017-02-25",263633,"puerto_montt"
"2017-02-26",496429,"puerto_montt"
"2017-02-27",925458,"puerto_montt"
"2017-02-28",138567,"puerto_montt"
"2017-03-01",182939,"puerto_montt"
"2017-03-02",140709,"puerto_montt"
"2017-03-03",125841,"puerto_montt"
"2017-03-04",106001,"puerto_montt"
"2017-03-05",114711,"puerto_montt"
"2017-03-06",205581,"puerto_montt"
"2017-03-07",152898,"puerto_montt"
"2017-03-08",914177,"puerto_montt"
"2017-03-09",238103,"puerto_montt"
"2017-03-10",258189,"puerto_montt"
"2017-03-11",304164,"puerto_montt"
"2017-03-12",235511,"puerto_montt"
"2017-03-13",137006,"puerto_montt"
"2017-03-14",100583,"puerto_montt"
"2017-03-15",740266,"puerto_montt"
"2017-03-16",540791,"puerto_montt"
"2017-03-17",422132,"puerto_montt"
"2017-03-18",304774,"puerto_montt"
"2017-03-19",111446,"puerto_montt"
"2017-03-20",114574,"puerto_montt"
"2017-03-21",460847,"puerto_montt"
"2017-03-22",116795,"puerto_montt"
"2017-03-23",555244,"puerto_montt"
"2017-03-24",101849,"puerto_montt"
